idx	char
1624	瑚
1625	瑜
1626	瑰
1627	璀
1628	璃
1629	璨
1630	瓜
1631	瓢
1632	瓣
1633	瓦
1634	瓶
1635	瓷
1636	甘
1637	甚
1638	甜
1639	生
1640	用
1641	甩
1642	田
1643	由
1644	甲
1645	电
1646	男
1647	画
1648	界
1649	畏
1650	留
1651	略
1652	番
1653	異
1654	疆
1655	疊
1656	疑
1657	疗
1658	疚
1659	疤
1660	疯
1661	疲
1662	疼
1663	病
1664	痕
1665	痛
1666	痹
1667	瘦
1668	瘴
1669	瘾
1670	登
1671	發
1672	白
1673	百
1674	的
1675	皇
1676	皎
1677	皮
1678	盆
1679	盈
1680	盎
1681	盏
1682	盒
1683	盔
1684	盖
1685	盘
1686	盛
1687	盟
1688	盡
1689	盤
1690	目
1691	盯
1692	盲
1693	直
1694	相
1695	盼
1696	盾
1697	眉
1698	看
1699	真
1700	眠
1701	眸
1702	眼
1703	着
1704	睁
1705	睛
1706	睡
1707	督
1708	睫
1709	睹
1710	瞎
1711	瞑
1712	瞒
1713	瞥
1714	瞧
1715	瞬
1716	瞰
1717	瞳
1718	矛
1719	矢
1720	知
1721	短
1722	石
1723	矿
1724	码
1725	砂
1726	砌
1727	砍
1728	砖
1729	破
1730	硝
1731	硬
1732	确
1733	碌
1734	碍
1735	碎
1736	碑
1737	碗
1738	碟
1739	碰
1740	碲
1741	碾
1742	示
1743	礼
1744	社
1745	祈
1746	祖
1747	祝
1748	神
1749	祟
1750	祥
1751	票
1752	祭
1753	祷
1754	祸
1755	禁
1756	禅
1757	福
1758	离
1759	秀
1760	私
1761	秃
1762	秋
1763	种
1764	科
1765	秒
1766	秘
1767	秦
1768	秩
1769	积
1770	称
1771	移
1772	稀
1773	程
1774	稍
1775	税
1776	稚
1777	稳
1778	稻
1779	稽
1780	穗
1781	究
1782	穷
1783	空
1784	穿
1785	突
1786	窑
1787	窗
1788	窜
1789	窝
1790	窥
1791	立
1792	竖
1793	站
1794	竟
1795	章
1796	童
1797	端
1798	竹
1799	笆
1800	笑
1801	笔
1802	笛
1803	符
1804	笨
1805	第
1806	笼
1807	筆
1808	等
1809	筋
1810	筐
1811	筑
1812	筒
1813	答
1814	筝
1815	筹
1816	签
1817	简
1818	箏
1819	算
1820	管
1821	箩
1822	箭
1823	箱
1824	篇
1825	篮
1826	篱
1827	篷
1828	簡
1829	籍
1830	米
1831	类
1832	粉
1833	粗
1834	粥
1835	粹
1836	精
1837	糊
1838	糕
1839	糖
1840	糗
1841	糙
1842	糜
1843	糟
1844	系
1845	紀
1846	約
1847	紅
1848	純
1849	素
1850	索
1851	紧
1852	紮
1853	累
1854	細
1855	終
1856	絕
1857	給
1858	統
1859	絲
1860	縫
1861	繁
1862	繡
1863	繼
1864	續
1865	红
1866	约
1867	级
1868	纪
1869	纯
1870	纱
1871	纲
1872	纳
1873	纵
1874	纷
1875	纸
1876	线
1877	练
1878	组
1879	细
1880	织
1881	终
